feature_id,ensembl_id,gene_symbol
ENSG00000000003,ENSG00000000003,TSPAN6
ENSG00000000419,ENSG00000000419,DPM1
ENSG00000000457,ENSG00000000457,SCYL3
ENSG00000000938,ENSG00000000938,FGR
ENSG00000000971,ENSG00000000971,CFH
ENSG00000001036,ENSG00000001036,FUCA2
ENSG00000001084,ENSG00000001084,GCLC
ENSG00000001167,ENSG00000001167,NFYA
ENSG00000001460,ENSG00000001460,STPG1
ENSG00000001461,ENSG00000001461,NIPAL3
ENSG00000001497,ENSG00000001497,LAS1L
ENSG00000001561,ENSG00000001561,ENPP4
ENSG00000001617,ENSG00000001617,SEMA3F
ENSG00000001629,ENSG00000001629,ANKIB1
ENSG00000001630,ENSG00000001630,CYP51A1
ENSG00000001631,ENSG00000001631,KRIT1
ENSG00000002016,ENSG00000002016,RAD52
ENSG00000002330,ENSG00000002330,BAD
ENSG00000002549,ENSG00000002549,LAP3
ENSG00000002587,ENSG00000002587,HS3ST1
ENSG00000002726,ENSG00000002726,AOC1
ENSG00000002746,ENSG00000002746,HECW1
ENSG00000002822,ENSG00000002822,MAD1L1
ENSG00000002834,ENSG00000002834,LASP1
ENSG00000002919,ENSG00000002919,SNX11
ENSG00000002933,ENSG00000002933,TMEM176A
ENSG00000003056,ENSG00000003056,M6PR
ENSG00000003096,ENSG00000003096,KLHL13
ENSG00000003137,ENSG00000003137,CYP26B1
ENSG00000003147,ENSG00000003147,ICA1
ENSG00000003249,ENSG00000003249,DBNDD1
ENSG00000003393,ENSG00000003393,ALS2
ENSG00000003400,ENSG00000003400,CASP10
ENSG00000003402,ENSG00000003402,CFLAR
ENSG00000003436,ENSG00000003436,TFPI
ENSG00000003509,ENSG00000003509,NDUFAF7
ENSG00000003756,ENSG00000003756,RBM5
ENSG00000003989,ENSG00000003989,SLC7A2
ENSG00000004059,ENSG00000004059,ARF5
ENSG00000004139,ENSG00000004139,SARM1
ENSG00000004142,ENSG00000004142,POLDIP2
ENSG00000004399,ENSG00000004399,PLXND1
ENSG00000004455,ENSG00000004455,AK2
ENSG00000004468,ENSG00000004468,CD38
ENSG00000004478,ENSG00000004478,FKBP4
ENSG00000004487,ENSG00000004487,KDM1A
ENSG00000004534,ENSG00000004534,RBM6
ENSG00000004660,ENSG00000004660,CAMKK1
ENSG00000004700,ENSG00000004700,RECQL
ENSG00000004766,ENSG00000004766,VPS50
ENSG00000004776,ENSG00000004776,HSPB6
ENSG00000004777,ENSG00000004777,ARHGAP33
ENSG00000004779,ENSG00000004779,NDUFAB1
ENSG00000004809,ENSG00000004809,SLC22A16
ENSG00000004838,ENSG00000004838,ZMYND10
ENSG00000004864,ENSG00000004864,SLC25A13
ENSG00000004866,ENSG00000004866,ST7
ENSG00000004897,ENSG00000004897,CDC27
ENSG00000004961,ENSG00000004961,HCCS
ENSG00000004975,ENSG00000004975,DVL2
ENSG00000005007,ENSG00000005007,UPF1
ENSG00000005020,ENSG00000005020,SKAP2
ENSG00000005022,ENSG00000005022,SLC25A5
ENSG00000005059,ENSG00000005059,MCUB
ENSG00000005075,ENSG00000005075,POLR2J
ENSG00000005100,ENSG00000005100,DHX33
ENSG00000005108,ENSG00000005108,THSD7A
ENSG00000005156,ENSG00000005156,LIG3
ENSG00000005175,ENSG00000005175,RPAP3
ENSG00000005187,ENSG00000005187,ACSM3
ENSG00000005189,ENSG00000005189,REXO5
ENSG00000005194,ENSG00000005194,CIAPIN1
ENSG00000005206,ENSG00000005206,SPPL2B
ENSG00000005238,ENSG00000005238,ATOSB
ENSG00000005243,ENSG00000005243,COPZ2
ENSG00000005249,ENSG00000005249,PRKAR2B
ENSG00000005302,ENSG00000005302,MSL3
ENSG00000005339,ENSG00000005339,CREBBP
ENSG00000005379,ENSG00000005379,TSPOAP1
ENSG00000005436,ENSG00000005436,GCFC2
ENSG00000005448,ENSG00000005448,WDR54
ENSG00000005469,ENSG00000005469,CROT
ENSG00000005471,ENSG00000005471,ABCB4
ENSG00000005483,ENSG00000005483,KMT2E
ENSG00000005486,ENSG00000005486,RHBDD2
ENSG00000005513,ENSG00000005513,SOX8
ENSG00000005700,ENSG00000005700,IBTK
ENSG00000005801,ENSG00000005801,ZNF195
ENSG00000005810,ENSG00000005810,MYCBP2
ENSG00000005812,ENSG00000005812,FBXL3
ENSG00000005844,ENSG00000005844,ITGAL
ENSG00000005882,ENSG00000005882,PDK2
ENSG00000005884,ENSG00000005884,ITGA3
ENSG00000005889,ENSG00000005889,ZFX
ENSG00000005893,ENSG00000005893,LAMP2
ENSG00000005961,ENSG00000005961,ITGA2B
ENSG00000006007,ENSG00000006007,GDE1
ENSG00000006015,ENSG00000006015,REX1BD
ENSG00000006016,ENSG00000006016,CRLF1
ENSG00000006025,ENSG00000006025,OSBPL7
ENSG00000006042,ENSG00000006042,TMEM98
ENSG00000006047,ENSG00000006047,YBX2
ENSG00000006062,ENSG00000006062,MAP3K14
ENSG00000006118,ENSG00000006118,TMEM132A
ENSG00000006125,ENSG00000006125,AP2B1
ENSG00000006128,ENSG00000006128,TAC1
ENSG00000006194,ENSG00000006194,ZNF263
ENSG00000006210,ENSG00000006210,CX3CL1
ENSG00000006282,ENSG00000006282,SPATA20
ENSG00000006283,ENSG00000006283,CACNA1G
ENSG00000006327,ENSG00000006327,TNFRSF12A
ENSG00000006432,ENSG00000006432,MAP3K9
ENSG00000006451,ENSG00000006451,RALA
ENSG00000006453,ENSG00000006453,BAIAP2L1
ENSG00000006459,ENSG00000006459,KDM7A
ENSG00000006468,ENSG00000006468,ETV1
ENSG00000006530,ENSG00000006530,AGK
ENSG00000006534,ENSG00000006534,ALDH3B1
ENSG00000006576,ENSG00000006576,PHTF2
ENSG00000006607,ENSG00000006607,FARP2
ENSG00000006625,ENSG00000006625,GGCT
ENSG00000006634,ENSG00000006634,DBF4
ENSG00000006652,ENSG00000006652,IFRD1
ENSG00000006695,ENSG00000006695,COX10
ENSG00000006704,ENSG00000006704,GTF2IRD1
ENSG00000006712,ENSG00000006712,PAF1
ENSG00000006715,ENSG00000006715,VPS41
ENSG00000006740,ENSG00000006740,ARHGAP44
ENSG00000006744,ENSG00000006744,ELAC2
ENSG00000006747,ENSG00000006747,SCIN
ENSG00000006756,ENSG00000006756,ARSD
ENSG00000006757,ENSG00000006757,PNPLA4
ENSG00000006831,ENSG00000006831,ADIPOR2
ENSG00000006837,ENSG00000006837,CDKL3
ENSG00000007047,ENSG00000007047,MARK4
ENSG00000007062,ENSG00000007062,PROM1
ENSG00000007080,ENSG00000007080,CCDC124
ENSG00000007129,ENSG00000007129,CEACAM21
ENSG00000007168,ENSG00000007168,PAFAH1B1
ENSG00000007202,ENSG00000007202,BLTP2
ENSG00000007237,ENSG00000007237,GAS7
ENSG00000007255,ENSG00000007255,TRAPPC6A
ENSG00000007264,ENSG00000007264,MATK
ENSG00000007312,ENSG00000007312,CD79B
ENSG00000007341,ENSG00000007341,ST7L
ENSG00000007372,ENSG00000007372,PAX6
ENSG00000007376,ENSG00000007376,RPUSD1
ENSG00000007384,ENSG00000007384,RHBDF1
ENSG00000007392,ENSG00000007392,LUC7L
ENSG00000007402,ENSG00000007402,CACNA2D2
ENSG00000007516,ENSG00000007516,BAIAP3
ENSG00000007520,ENSG00000007520,TSR3
ENSG00000007541,ENSG00000007541,PIGQ
ENSG00000007545,ENSG00000007545,CRAMP1
ENSG00000007866,ENSG00000007866,TEAD3
ENSG00000007923,ENSG00000007923,DNAJC11
ENSG00000007944,ENSG00000007944,MYLIP
ENSG00000007968,ENSG00000007968,E2F2
ENSG00000008018,ENSG00000008018,PSMB1
ENSG00000008056,ENSG00000008056,SYN1
ENSG00000008083,ENSG00000008083,JARID2
ENSG00000008086,ENSG00000008086,CDKL5
ENSG00000008128,ENSG00000008128,CDK11A
ENSG00000008130,ENSG00000008130,NADK
ENSG00000008196,ENSG00000008196,TFAP2B
ENSG00000008226,ENSG00000008226,DLEC1
ENSG00000008256,ENSG00000008256,CYTH3
ENSG00000008277,ENSG00000008277,ADAM22
ENSG00000008282,ENSG00000008282,SYPL1
ENSG00000008283,ENSG00000008283,CYB561
ENSG00000008294,ENSG00000008294,SPAG9
ENSG00000008300,ENSG00000008300,CELSR3
ENSG00000008311,ENSG00000008311,AASS
ENSG00000008323,ENSG00000008323,PLEKHG6
ENSG00000008324,ENSG00000008324,SS18L2
ENSG00000008382,ENSG00000008382,MPND
ENSG00000008394,ENSG00000008394,MGST1
ENSG00000008405,ENSG00000008405,CRY1
ENSG00000008441,ENSG00000008441,NFIX
ENSG00000008513,ENSG00000008513,ST3GAL1
ENSG00000008516,ENSG00000008516,MMP25
ENSG00000008517,ENSG00000008517,IL32
ENSG00000008710,ENSG00000008710,PKD1
ENSG00000008735,ENSG00000008735,MAPK8IP2
ENSG00000008838,ENSG00000008838,MED24
ENSG00000008853,ENSG00000008853,RHOBTB2
ENSG00000008869,ENSG00000008869,HEATR5B
ENSG00000008952,ENSG00000008952,SEC62
ENSG00000008988,ENSG00000008988,RPS20
ENSG00000009307,ENSG00000009307,CSDE1
ENSG00000009335,ENSG00000009335,UBE3C
ENSG00000009413,ENSG00000009413,REV3L
ENSG00000009709,ENSG00000009709,PAX7
ENSG00000009780,ENSG00000009780,FAM76A
ENSG00000009790,ENSG00000009790,TRAF3IP3
ENSG00000009830,ENSG00000009830,POMT2
ENSG00000009844,ENSG00000009844,VTA1
ENSG00000009950,ENSG00000009950,MLXIPL
ENSG00000009954,ENSG00000009954,BAZ1B
ENSG00000010017,ENSG00000010017,RANBP9
ENSG00000010030,ENSG00000010030,ETV7
ENSG00000010072,ENSG00000010072,SPRTN
ENSG00000010165,ENSG00000010165,METTL13
ENSG00000010219,ENSG00000010219,DYRK4
ENSG00000010244,ENSG00000010244,ZNF207
ENSG00000010256,ENSG00000010256,UQCRC1
ENSG00000010270,ENSG00000010270,STARD3NL
ENSG00000010278,ENSG00000010278,CD9
ENSG00000010292,ENSG00000010292,NCAPD2
ENSG00000010295,ENSG00000010295,IFFO1
ENSG00000010310,ENSG00000010310,GIPR
ENSG00000010318,ENSG00000010318,PHF7
ENSG00000010319,ENSG00000010319,SEMA3G
ENSG00000010322,ENSG00000010322,NISCH
ENSG00000010327,ENSG00000010327,STAB1
ENSG00000010361,ENSG00000010361,FUZ
ENSG00000010404,ENSG00000010404,IDS
ENSG00000010539,ENSG00000010539,ZNF200
ENSG00000010610,ENSG00000010610,CD4
ENSG00000010626,ENSG00000010626,LRRC23
ENSG00000010671,ENSG00000010671,BTK
ENSG00000010704,ENSG00000010704,HFE
ENSG00000010803,ENSG00000010803,SCMH1
ENSG00000010810,ENSG00000010810,FYN
ENSG00000010818,ENSG00000010818,HIVEP2
ENSG00000011007,ENSG00000011007,ELOA
ENSG00000011009,ENSG00000011009,LYPLA2
ENSG00000011021,ENSG00000011021,CLCN6
ENSG00000011028,ENSG00000011028,MRC2
ENSG00000011105,ENSG00000011105,TSPAN9
ENSG00000011114,ENSG00000011114,BTBD7
ENSG00000011132,ENSG00000011132,APBA3
ENSG00000011143,ENSG00000011143,MKS1
ENSG00000011198,ENSG00000011198,ABHD5
ENSG00000011201,ENSG00000011201,ANOS1
ENSG00000011243,ENSG00000011243,AKAP8L
ENSG00000011258,ENSG00000011258,MBTD1
ENSG00000011260,ENSG00000011260,UTP18
ENSG00000011275,ENSG00000011275,RNF216
ENSG00000011295,ENSG00000011295,TTC19
ENSG00000011304,ENSG00000011304,PTBP1
ENSG00000011332,ENSG00000011332,DPF1
ENSG00000011376,ENSG00000011376,LARS2
ENSG00000011405,ENSG00000011405,PIK3C2A
ENSG00000011422,ENSG00000011422,PLAUR
ENSG00000011426,ENSG00000011426,ANLN
ENSG00000011451,ENSG00000011451,WIZ
ENSG00000011454,ENSG00000011454,RABGAP1
ENSG00000011465,ENSG00000011465,DCN
ENSG00000011478,ENSG00000011478,QPCTL
ENSG00000011485,ENSG00000011485,PPP5C
ENSG00000011523,ENSG00000011523,CEP68
ENSG00000011566,ENSG00000011566,MAP4K3
ENSG00000011600,ENSG00000011600,TYROBP
ENSG00000011638,ENSG00000011638,LDAF1
ENSG00000011677,ENSG00000011677,GABRA3
ENSG00000012048,ENSG00000012048,BRCA1
ENSG00000012061,ENSG00000012061,ERCC1
ENSG00000012171,ENSG00000012171,SEMA3B
ENSG00000012174,ENSG00000012174,MBTPS2
ENSG00000012211,ENSG00000012211,PRICKLE3
ENSG00000012232,ENSG00000012232,EXTL3
ENSG00000012660,ENSG00000012660,ELOVL5
ENSG00000012779,ENSG00000012779,ALOX5
ENSG00000012817,ENSG00000012817,KDM5D
ENSG00000012822,ENSG00000012822,CALCOCO1
ENSG00000012963,ENSG00000012963,UBR7
ENSG00000012983,ENSG00000012983,MAP4K5
ENSG00000013016,ENSG00000013016,EHD3
ENSG00000013275,ENSG00000013275,PSMC4
ENSG00000013288,ENSG00000013288,MAN2B2
ENSG00000013297,ENSG00000013297,CLDN11
ENSG00000013306,ENSG00000013306,SLC25A39
ENSG00000013364,ENSG00000013364,MVP
ENSG00000013374,ENSG00000013374,NUB1
ENSG00000013375,ENSG00000013375,PGM3
ENSG00000013392,ENSG00000013392,RWDD2A
ENSG00000013441,ENSG00000013441,CLK1
ENSG00000013503,ENSG00000013503,POLR3B
ENSG00000013523,ENSG00000013523,ANGEL1
ENSG00000013561,ENSG00000013561,RNF14
ENSG00000013563,ENSG00000013563,DNASE1L1
ENSG00000013573,ENSG00000013573,DDX11
ENSG00000013583,ENSG00000013583,HEBP1
ENSG00000013619,ENSG00000013619,MAMLD1
ENSG00000013725,ENSG00000013725,CD6
ENSG00000013810,ENSG00000013810,TACC3
ENSG00000014123,ENSG00000014123,UFL1
ENSG00000014138,ENSG00000014138,POLA2
ENSG00000014164,ENSG00000014164,ZC3H3
ENSG00000014216,ENSG00000014216,CAPN1
ENSG00000014257,ENSG00000014257,ACP3
ENSG00000014641,ENSG00000014641,MDH1
ENSG00000014824,ENSG00000014824,SLC30A9
ENSG00000014914,ENSG00000014914,MTMR11
ENSG00000014919,ENSG00000014919,COX15
ENSG00000015133,ENSG00000015133,CCDC88C
ENSG00000015153,ENSG00000015153,YAF2
ENSG00000015171,ENSG00000015171,ZMYND11
ENSG00000015285,ENSG00000015285,WAS
ENSG00000015413,ENSG00000015413,DPEP1
ENSG00000015475,ENSG00000015475,BID
ENSG00000015532,ENSG00000015532,XYLT2
ENSG00000015568,ENSG00000015568,RGPD5
ENSG00000015676,ENSG00000015676,NUDCD3
ENSG00000016391,ENSG00000016391,CHDH
ENSG00000016864,ENSG00000016864,GLT8D1
ENSG00000017260,ENSG00000017260,ATP2C1
ENSG00000017427,ENSG00000017427,IGF1
ENSG00000017483,ENSG00000017483,SLC38A5
ENSG00000017797,ENSG00000017797,RALBP1
ENSG00000018189,ENSG00000018189,RUFY3
ENSG00000018280,ENSG00000018280,SLC11A1
ENSG00000018408,ENSG00000018408,WWTR1
ENSG00000018510,ENSG00000018510,AGPS
ENSG00000018610,ENSG00000018610,STEEP1
ENSG00000018625,ENSG00000018625,ATP1A2
ENSG00000018699,ENSG00000018699,TTC27
ENSG00000018869,ENSG00000018869,ZNF582
ENSG00000019144,ENSG00000019144,PHLDB1
ENSG00000019169,ENSG00000019169,MARCO
ENSG00000019485,ENSG00000019485,PRDM11
ENSG00000019549,ENSG00000019549,SNAI2
ENSG00000019582,ENSG00000019582,CD74
ENSG00000019995,ENSG00000019995,ZRANB1
ENSG00000020129,ENSG00000020129,NCDN
ENSG00000020181,ENSG00000020181,ADGRA2
ENSG00000020256,ENSG00000020256,ZFP64
ENSG00000020426,ENSG00000020426,MNAT1
ENSG00000020577,ENSG00000020577,SAMD4A
ENSG00000020633,ENSG00000020633,RUNX3
ENSG00000020922,ENSG00000020922,MRE11
ENSG00000021300,ENSG00000021300,PLEKHB1
ENSG00000021355,ENSG00000021355,SERPINB1
ENSG00000021574,ENSG00000021574,SPAST
ENSG00000021645,ENSG00000021645,NRXN3
ENSG00000021762,ENSG00000021762,OSBPL5
ENSG00000021776,ENSG00000021776,AQR
ENSG00000022267,ENSG00000022267,FHL1
ENSG00000022277,ENSG00000022277,RTF2
ENSG00000022567,ENSG00000022567,SLC45A4
ENSG00000022840,ENSG00000022840,RNF10
ENSG00000022976,ENSG00000022976,ZNF839
ENSG00000023041,ENSG00000023041,ZDHHC6
ENSG00000023171,ENSG00000023171,GRAMD1B
ENSG00000023191,ENSG00000023191,RNH1
ENSG00000023228,ENSG00000023228,NDUFS1
ENSG00000023287,ENSG00000023287,RB1CC1
ENSG00000023318,ENSG00000023318,ERP44
ENSG00000023330,ENSG00000023330,ALAS1
ENSG00000023445,ENSG00000023445,BIRC3
ENSG00000023516,ENSG00000023516,AKAP11
ENSG00000023572,ENSG00000023572,GLRX2
